budget,arm,seed,jmean,es_iou,best_step,steps,n_real,n_gen,minutes,per_video
1,standard,0,0.3714,0.7029,3400,4000,30,0,3.26,"{""blackswan"": 0.5428, ""bmx-trees"": 0.1342, ""breakdance"": 0.0536, ""camel"": 0.6698, ""car-roundabout"": 0.4498, ""car-shadow"": 0.4591, ""cows"": 0.6461, ""dance-twirl"": 0.238, ""dog"": 0.4087, ""drift-chicane"": 0.0496, ""drift-straight"": 0.1149, ""goat"": 0.0359, ""horsejump-high"": 0.4422, ""kite-surf"": 0.6119, ""libby"": 0.3411, ""motocross-jump"": 0.34, ""paragliding-launch"": 0.5086, ""parkour"": 0.4993, ""scooter-black"": 0.436, ""soapbox"": 0.4468}"
2,standard,0,0.4268,0.7809,3600,4000,60,0,3.19,"{""blackswan"": 0.8669, ""bmx-trees"": 0.1424, ""breakdance"": 0.112, ""camel"": 0.5398, ""car-roundabout"": 0.4742, ""car-shadow"": 0.5559, ""cows"": 0.7377, ""dance-twirl"": 0.229, ""dog"": 0.6074, ""drift-chicane"": 0.0304, ""drift-straight"": 0.2381, ""goat"": 0.1008, ""horsejump-high"": 0.6066, ""kite-surf"": 0.589, ""libby"": 0.4353, ""motocross-jump"": 0.4226, ""paragliding-launch"": 0.5289, ""parkour"": 0.6271, ""scooter-black"": 0.2828, ""soapbox"": 0.4098}"
1,standard,1,0.3865,0.7255,4000,4000,30,0,3.15,"{""blackswan"": 0.7156, ""bmx-trees"": 0.1464, ""breakdance"": 0.1013, ""camel"": 0.6717, ""car-roundabout"": 0.29, ""car-shadow"": 0.4181, ""cows"": 0.6943, ""dance-twirl"": 0.2938, ""dog"": 0.4844, ""drift-chicane"": 0.0055, ""drift-straight"": 0.1591, ""goat"": 0.0468, ""horsejump-high"": 0.4586, ""kite-surf"": 0.5491, ""libby"": 0.3055, ""motocross-jump"": 0.3635, ""paragliding-launch"": 0.5402, ""parkour"": 0.6195, ""scooter-black"": 0.4318, ""soapbox"": 0.4342}"
1,flow,2,0.3529,0.6853,1800,4000,30,208,2.92,"{""blackswan"": 0.628, ""bmx-trees"": 0.1806, ""breakdance"": 0.118, ""camel"": 0.487, ""car-roundabout"": 0.3585, ""car-shadow"": 0.5963, ""cows"": 0.5478, ""dance-twirl"": 0.238, ""dog"": 0.2229, ""drift-chicane"": 0.0, ""drift-straight"": 0.1966, ""goat"": 0.1779, ""horsejump-high"": 0.356, ""kite-surf"": 0.5727, ""libby"": 0.2995, ""motocross-jump"": 0.3923, ""paragliding-launch"": 0.4726, ""parkour"": 0.5088, ""scooter-black"": 0.2884, ""soapbox"": 0.4154}"
2,standard,1,0.4092,0.7865,4000,4000,60,0,3.18,"{""blackswan"": 0.3268, ""bmx-trees"": 0.1835, ""breakdance"": 0.1628, ""camel"": 0.6363, ""car-roundabout"": 0.4889, ""car-shadow"": 0.477, ""cows"": 0.7249, ""dance-twirl"": 0.2576, ""dog"": 0.6808, ""drift-chicane"": 0.0219, ""drift-straight"": 0.221, ""goat"": 0.4141, ""horsejump-high"": 0.3989, ""kite-surf"": 0.6003, ""libby"": 0.3433, ""motocross-jump"": 0.4202, ""paragliding-launch"": 0.5748, ""parkour"": 0.5991, ""scooter-black"": 0.2353, ""soapbox"": 0.4167}"
2,flow,2,0.4041,0.7673,2400,4000,60,416,2.81,"{""blackswan"": 0.3542, ""bmx-trees"": 0.2906, ""breakdance"": 0.1505, ""camel"": 0.702, ""car-roundabout"": 0.4649, ""car-shadow"": 0.7965, ""cows"": 0.6275, ""dance-twirl"": 0.2281, ""dog"": 0.5474, ""drift-chicane"": 0.0, ""drift-straight"": 0.2028, ""goat"": 0.0809, ""horsejump-high"": 0.421, ""kite-surf"": 0.5853, ""libby"": 0.3283, ""motocross-jump"": 0.359, ""paragliding-launch"": 0.518, ""parkour"": 0.6222, ""scooter-black"": 0.3458, ""soapbox"": 0.4564}"
20,standard,0,0.4492,0.8127,4000,4000,600,0,2.96,"{""blackswan"": 0.3903, ""bmx-trees"": 0.1993, ""breakdance"": 0.1423, ""camel"": 0.5941, ""car-roundabout"": 0.6665, ""car-shadow"": 0.5447, ""cows"": 0.6606, ""dance-twirl"": 0.2661, ""dog"": 0.7554, ""drift-chicane"": 0.141, ""drift-straight"": 0.3165, ""goat"": 0.0504, ""horsejump-high"": 0.7188, ""kite-surf"": 0.5753, ""libby"": 0.3932, ""motocross-jump"": 0.3711, ""paragliding-launch"": 0.5512, ""parkour"": 0.6947, ""scooter-black"": 0.539, ""soapbox"": 0.4138}"
20,standard,2,0.4635,0.8236,4000,4000,600,0,2.87,"{""blackswan"": 0.6903, ""bmx-trees"": 0.2156, ""breakdance"": 0.1648, ""camel"": 0.68, ""car-roundabout"": 0.7538, ""car-shadow"": 0.4894, ""cows"": 0.7595, ""dance-twirl"": 0.277, ""dog"": 0.5862, ""drift-chicane"": 0.1322, ""drift-straight"": 0.3735, ""goat"": 0.0315, ""horsejump-high"": 0.5127, ""kite-surf"": 0.5521, ""libby"": 0.4225, ""motocross-jump"": 0.3957, ""paragliding-launch"": 0.5521, ""parkour"": 0.7146, ""scooter-black"": 0.5644, ""soapbox"": 0.4012}"
1,flow,0,0.3359,0.6838,3000,4000,30,208,3.1,"{""blackswan"": 0.4111, ""bmx-trees"": 0.2167, ""breakdance"": 0.1651, ""camel"": 0.3922, ""car-roundabout"": 0.2963, ""car-shadow"": 0.6755, ""cows"": 0.4866, ""dance-twirl"": 0.2374, ""dog"": 0.3597, ""drift-chicane"": 0.0024, ""drift-straight"": 0.1302, ""goat"": 0.1134, ""horsejump-high"": 0.3533, ""kite-surf"": 0.4855, ""libby"": 0.2586, ""motocross-jump"": 0.3771, ""paragliding-launch"": 0.5031, ""parkour"": 0.604, ""scooter-black"": 0.3142, ""soapbox"": 0.3358}"
2,flow,0,0.3643,0.7525,3600,4000,60,416,2.92,"{""blackswan"": 0.3275, ""bmx-trees"": 0.2659, ""breakdance"": 0.1353, ""camel"": 0.5214, ""car-roundabout"": 0.5241, ""car-shadow"": 0.3616, ""cows"": 0.5554, ""dance-twirl"": 0.2235, ""dog"": 0.5858, ""drift-chicane"": 0.0631, ""drift-straight"": 0.2327, ""goat"": 0.1117, ""horsejump-high"": 0.6015, ""kite-surf"": 0.2897, ""libby"": 0.3522, ""motocross-jump"": 0.3343, ""paragliding-launch"": 0.5368, ""parkour"": 0.538, ""scooter-black"": 0.3344, ""soapbox"": 0.3917}"
