budget,arm,seed,dice,es_dice,best_step,n_real,n_flows_ok,n_nb,minutes,per_volume
1,none,0,0.6302,0.6861,900,14,0,0,1.17,"{""la_005"": 0.601, ""la_010"": 0.5505, ""la_016"": 0.6955, ""la_019"": 0.6766, ""la_022"": 0.6407, ""la_026"": 0.6169}"
1,flow,0,0.6538,0.713,1650,14,56,0,2.04,"{""la_005"": 0.6344, ""la_010"": 0.6799, ""la_016"": 0.7417, ""la_019"": 0.5853, ""la_022"": 0.6316, ""la_026"": 0.6502}"
2,plausible,0,0.8351,0.8887,600,28,0,0,1.43,"{""la_005"": 0.8496, ""la_010"": 0.8325, ""la_016"": 0.8591, ""la_019"": 0.7662, ""la_022"": 0.8369, ""la_026"": 0.8662}"
2,propagate,0,0.8331,0.8872,450,28,112,112,1.56,"{""la_005"": 0.8144, ""la_010"": 0.8565, ""la_016"": 0.8645, ""la_019"": 0.8043, ""la_022"": 0.8512, ""la_026"": 0.8076}"
4,elastic,0,0.8732,0.9261,2100,56,0,0,1.49,"{""la_005"": 0.8697, ""la_010"": 0.8495, ""la_016"": 0.9137, ""la_019"": 0.8392, ""la_022"": 0.888, ""la_026"": 0.879}"
999,none,0,0.8887,0.975,3000,881,0,0,1.17,"{""la_005"": 0.8772, ""la_010"": 0.8945, ""la_016"": 0.9125, ""la_019"": 0.8323, ""la_022"": 0.9257, ""la_026"": 0.8904}"
999,flow,0,0.8927,0.9663,3000,881,3524,0,1.84,"{""la_005"": 0.8843, ""la_010"": 0.9045, ""la_016"": 0.928, ""la_019"": 0.8359, ""la_022"": 0.9105, ""la_026"": 0.8933}"
1,none,2,0.5539,0.6371,1050,14,0,0,1.13,"{""la_005"": 0.5081, ""la_010"": 0.5423, ""la_016"": 0.6188, ""la_019"": 0.603, ""la_022"": 0.5268, ""la_026"": 0.5243}"
1,elastic,1,0.6709,0.7564,1500,14,0,0,1.52,"{""la_005"": 0.6034, ""la_010"": 0.6785, ""la_016"": 0.7667, ""la_019"": 0.7047, ""la_022"": 0.6448, ""la_026"": 0.627}"
1,flow,2,0.7126,0.7785,750,14,56,0,1.79,"{""la_005"": 0.6944, ""la_010"": 0.5991, ""la_016"": 0.7664, ""la_019"": 0.7293, ""la_022"": 0.7672, ""la_026"": 0.7194}"
2,none,1,0.8168,0.8831,300,28,0,0,1.23,"{""la_005"": 0.8047, ""la_010"": 0.8408, ""la_016"": 0.8484, ""la_019"": 0.7277, ""la_022"": 0.8562, ""la_026"": 0.8231}"
2,plausible,2,0.8156,0.889,1650,28,0,0,1.49,"{""la_005"": 0.7985, ""la_010"": 0.8046, ""la_016"": 0.9006, ""la_019"": 0.7453, ""la_022"": 0.8383, ""la_026"": 0.8061}"
2,flow,1,0.8438,0.8955,2250,28,112,0,1.78,"{""la_005"": 0.8337, ""la_010"": 0.8557, ""la_016"": 0.8882, ""la_019"": 0.7897, ""la_022"": 0.8641, ""la_026"": 0.8315}"
2,propagate,2,0.8271,0.8901,300,28,112,112,1.53,"{""la_005"": 0.8278, ""la_010"": 0.8054, ""la_016"": 0.8594, ""la_019"": 0.7485, ""la_022"": 0.879, ""la_026"": 0.8425}"
4,plausible,1,0.8791,0.9277,1950,56,0,0,1.53,"{""la_005"": 0.8744, ""la_010"": 0.875, ""la_016"": 0.9145, ""la_019"": 0.8352, ""la_022"": 0.8979, ""la_026"": 0.8776}"
4,elastic,2,0.8813,0.9291,1800,56,0,0,49.48,"{""la_005"": 0.8555, ""la_010"": 0.8866, ""la_016"": 0.9226, ""la_019"": 0.8497, ""la_022"": 0.9121, ""la_026"": 0.8611}"
4,propagate,1,0.8512,0.9327,900,56,224,224,2.21,"{""la_005"": 0.8327, ""la_010"": 0.8831, ""la_016"": 0.8939, ""la_019"": 0.7968, ""la_022"": 0.8624, ""la_026"": 0.8386}"
999,none,2,0.8815,0.9746,2850,881,0,0,1.67,"{""la_005"": 0.8713, ""la_010"": 0.9029, ""la_016"": 0.9162, ""la_019"": 0.8015, ""la_022"": 0.9146, ""la_026"": 0.8827}"
999,elastic,1,0.8779,0.9698,3000,881,0,0,2.38,"{""la_005"": 0.8625, ""la_010"": 0.9063, ""la_016"": 0.9223, ""la_019"": 0.7848, ""la_022"": 0.9211, ""la_026"": 0.8705}"
1,plausible,0,0.5921,0.6615,1800,14,0,0,1.66,"{""la_005"": 0.5244, ""la_010"": 0.6043, ""la_016"": 0.726, ""la_019"": 0.5978, ""la_022"": 0.5586, ""la_026"": 0.5416}"
1,propagate,0,0.6371,0.7213,1350,14,56,56,1.42,"{""la_005"": 0.5748, ""la_010"": 0.5843, ""la_016"": 0.7052, ""la_019"": 0.7027, ""la_022"": 0.6637, ""la_026"": 0.592}"
2,elastic,0,0.8375,0.8795,1800,28,0,0,1.56,"{""la_005"": 0.8119, ""la_010"": 0.8128, ""la_016"": 0.9066, ""la_019"": 0.8257, ""la_022"": 0.8587, ""la_026"": 0.8092}"
4,none,0,0.8673,0.9221,1200,56,0,0,1.18,"{""la_005"": 0.8811, ""la_010"": 0.842, ""la_016"": 0.9021, ""la_019"": 0.8174, ""la_022"": 0.8715, ""la_026"": 0.8898}"
4,flow,0,0.8654,0.9331,2100,56,224,0,1.82,"{""la_005"": 0.8456, ""la_010"": 0.8572, ""la_016"": 0.9028, ""la_019"": 0.8607, ""la_022"": 0.8729, ""la_026"": 0.853}"
999,plausible,0,0.8984,0.962,2850,881,0,0,1.62,"{""la_005"": 0.905, ""la_010"": 0.9039, ""la_016"": 0.9222, ""la_019"": 0.8314, ""la_022"": 0.917, ""la_026"": 0.911}"
999,propagate,0,0.8825,0.9736,3000,881,3524,3524,1.47,"{""la_005"": 0.8656, ""la_010"": 0.8985, ""la_016"": 0.9147, ""la_019"": 0.8208, ""la_022"": 0.9187, ""la_026"": 0.877}"
1,plausible,1,0.5293,0.6398,900,14,0,0,1.53,"{""la_005"": 0.4784, ""la_010"": 0.5429, ""la_016"": 0.575, ""la_019"": 0.567, ""la_022"": 0.5224, ""la_026"": 0.4902}"
1,elastic,2,0.5876,0.6614,1800,14,0,0,1.53,"{""la_005"": 0.5656, ""la_010"": 0.5691, ""la_016"": 0.6842, ""la_019"": 0.6134, ""la_022"": 0.5145, ""la_026"": 0.5788}"
1,propagate,1,0.5826,0.6853,450,14,56,56,1.48,"{""la_005"": 0.5285, ""la_010"": 0.6159, ""la_016"": 0.5864, ""la_019"": 0.6429, ""la_022"": 0.5768, ""la_026"": 0.545}"
2,none,2,0.8194,0.8804,1050,28,0,0,1.2,"{""la_005"": 0.8104, ""la_010"": 0.7406, ""la_016"": 0.8607, ""la_019"": 0.8055, ""la_022"": 0.8757, ""la_026"": 0.8236}"
2,elastic,1,0.8308,0.8914,1350,28,0,0,1.54,"{""la_005"": 0.8205, ""la_010"": 0.8244, ""la_016"": 0.8731, ""la_019"": 0.7594, ""la_022"": 0.8722, ""la_026"": 0.8352}"
