held_out_frame,psnr_nearest_dB,psnr_blend_dB,psnr_propagated_dB
1.000,26.047,29.304,36.568
3.000,26.232,29.511,33.849
5.000,26.447,29.740,35.810
7.000,25.903,29.808,36.489
9.000,27.084,30.531,36.792
11.000,26.885,30.675,36.855
13.000,27.286,31.309,35.356
15.000,27.485,31.217,34.815
17.000,27.624,32.030,37.040
19.000,28.971,33.539,38.476
21.000,29.469,33.995,35.534
23.000,30.563,34.887,33.951
25.000,30.500,35.893,33.733
27.000,31.633,35.813,34.373
29.000,30.721,36.558,35.372
31.000,32.928,37.718,33.164
33.000,33.142,35.927,34.757
35.000,28.958,32.153,33.676
37.000,27.538,30.545,30.469
39.000,25.033,28.716,29.627
41.000,24.397,27.486,30.081
43.000,22.471,25.801,30.492
45.000,21.975,24.390,27.324
47.000,18.920,21.569,24.217
49.000,17.666,21.251,28.832
51.000,19.511,22.796,28.299
53.000,20.753,23.590,27.664
55.000,20.345,23.976,26.315
