pair,one_step_static,one_step_propagated,region_moves_3x_static,region_frozen_static,pulsing_swirl_static,pulsing_squeeze_static,pulsing_shear_static,region_moves_3x_propagated,region_frozen_propagated,pulsing_swirl_propagated,pulsing_squeeze_propagated,pulsing_shear_propagated
0.0000,0.9384,0.9528,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,0.9030,0.9165,0.9972,0.9991,1.0000,1.0000,1.0000,0.9972,0.9991,1.0000,1.0000,1.0000
2.0000,0.8553,0.8545,0.9925,0.9972,0.9498,0.9322,0.9979,0.9942,0.9972,0.9510,0.9322,0.9979
3.0000,0.9766,0.9803,0.9965,0.9967,0.9855,0.9889,0.9929,0.9971,0.9973,0.9898,0.9939,0.9955
4.0000,0.9764,0.9771,0.9961,0.9978,0.9775,0.9819,0.9886,0.9973,0.9983,0.9908,0.9913,0.9947
5.0000,0.9780,0.9844,0.9968,0.9967,0.9719,0.9720,0.9821,0.9963,0.9973,0.9894,0.9891,0.9930
6.0000,0.9727,0.9843,0.9973,0.9971,0.9644,0.9627,0.9730,0.9968,0.9981,0.9861,0.9873,0.9896
7.0000,0.9754,0.9833,0.9955,0.9971,0.9601,0.9557,0.9677,0.9956,0.9981,0.9893,0.9915,0.9905
8.0000,0.9749,0.9801,0.9948,0.9964,0.9598,0.9511,0.9628,0.9953,0.9966,0.9884,0.9914,0.9916
9.0000,0.9648,0.9800,0.9946,0.9965,0.9625,0.9488,0.9565,0.9950,0.9976,0.9922,0.9932,0.9913
10.0000,0.9551,0.9682,0.9900,0.8563,0.9663,0.9477,0.9509,0.9945,0.8560,0.9904,0.9916,0.9873
11.0000,0.9488,0.9505,0.9799,0.9907,0.9759,0.9471,0.9478,0.9850,0.9930,0.9894,0.9849,0.9874
12.0000,0.9707,0.9783,0.9897,0.9939,0.9837,0.9601,0.9492,0.9930,0.9948,0.9909,0.9917,0.9883
13.0000,0.9714,0.9640,0.9884,0.9937,0.9701,0.9683,0.9560,0.9922,0.9944,0.9901,0.9902,0.9896
14.0000,0.9463,0.9686,0.9885,0.9919,0.9627,0.9772,0.9657,0.9927,0.9939,0.9862,0.9907,0.9900
15.0000,0.9577,0.9777,0.9875,0.9928,0.9538,0.9703,0.9706,0.9923,0.9933,0.9859,0.9903,0.9905
16.0000,0.9657,0.9814,0.9853,0.9913,0.9557,0.9633,0.9745,0.9889,0.9927,0.9878,0.9872,0.9902
17.0000,0.9610,0.9767,0.9854,0.9913,0.9455,0.9543,0.9755,0.9897,0.9921,0.9752,0.9855,0.9900
18.0000,0.9694,0.9806,0.9817,0.9930,0.9685,0.9475,0.8036,0.9896,0.9942,0.9884,0.9858,0.8174
19.0000,0.9642,0.9784,0.9805,0.9902,0.9831,0.9417,0.9625,0.9882,0.9923,0.9897,0.9859,0.9879
20.0000,0.9583,0.9679,0.9765,0.9905,0.9838,0.9385,0.9557,0.9883,0.9935,0.9913,0.9866,0.9875
21.0000,0.9609,0.9680,0.9752,0.9883,0.9689,0.9453,0.9482,0.9889,0.9886,0.9868,0.9847,0.9868
22.0000,0.8880,0.9018,0.9741,0.9902,0.9575,0.9527,0.9502,0.9893,0.9889,0.9884,0.9861,0.9885
23.0000,0.9165,0.9565,0.8872,0.8961,0.9084,0.9381,0.9062,0.9817,0.9918,0.9835,0.9818,0.9808
24.0000,0.9380,0.9764,0.8767,0.8877,0.9304,0.9615,0.9194,0.9586,0.9928,0.9829,0.9893,0.9830
25.0000,0.9471,0.9760,0.8924,0.8910,0.9416,0.9583,0.9296,0.9745,0.9926,0.9850,0.9898,0.9858
26.0000,0.9477,0.9798,0.9150,0.9017,0.9542,0.9556,0.9448,0.9800,0.9923,0.9855,0.9923,0.9873
27.0000,0.9522,0.9824,0.9364,0.9046,0.9719,0.9535,0.9579,0.9859,0.9890,0.9896,0.9903,0.9899
28.0000,0.9587,0.9828,0.9445,0.9203,0.9787,0.9527,0.9682,0.9860,0.9938,0.9906,0.9892,0.9885
29.0000,0.9681,0.9854,0.9489,0.9255,0.9779,0.9509,0.9791,0.9871,0.9937,0.9925,0.9884,0.9929
30.0000,0.9778,0.9858,0.9569,0.9247,0.9681,0.9500,0.9762,0.9880,0.9925,0.9893,0.9881,0.9927
31.0000,0.9763,0.9679,0.9559,0.9214,0.9622,0.9574,0.9677,0.9897,0.9931,0.9877,0.9900,0.9933
32.0000,0.9670,0.9824,0.9545,0.9586,0.9627,0.9619,0.9584,0.9872,0.9828,0.9847,0.9891,0.9896
33.0000,0.9645,0.9739,0.9650,0.9667,0.9656,0.9769,0.9523,0.9929,0.9872,0.9863,0.9919,0.9923
34.0000,0.9447,0.9629,0.9635,0.9572,0.9760,0.9904,0.9471,0.9892,0.9886,0.9898,0.9935,0.9905
35.0000,0.9499,0.9663,0.9611,0.9580,0.9713,0.9706,0.9408,0.9909,0.9789,0.9899,0.9906,0.9902
36.0000,0.9297,0.9537,0.9674,0.9657,0.9815,0.9645,0.9482,0.9934,0.9763,0.9892,0.9884,0.9885
37.0000,0.9182,0.9615,0.9454,0.9465,0.9626,0.9453,0.9435,0.9934,0.9829,0.9900,0.9856,0.9903
38.0000,0.9228,0.9716,0.9635,0.9475,0.9553,0.9482,0.9575,0.9937,0.9924,0.9863,0.9877,0.9949
39.0000,0.9232,0.9707,0.9728,0.9446,0.9609,0.9508,0.9665,0.9960,0.9937,0.9875,0.9884,0.9923
40.0000,0.9133,0.9668,0.9759,0.9372,0.9613,0.9512,0.9749,0.9950,0.9942,0.9881,0.9866,0.9932
41.0000,0.9054,0.9545,0.9763,0.9340,0.9672,0.9550,0.9834,0.9933,0.9943,0.9880,0.9867,0.9936
42.0000,0.9043,0.9492,0.9770,0.9369,0.9745,0.9694,0.9803,0.9965,0.9937,0.9918,0.9920,0.9904
43.0000,0.9318,0.9596,0.9558,0.9357,0.9689,0.9657,0.9748,0.9843,0.9875,0.9776,0.9760,0.9925
44.0000,0.9269,0.9699,0.9465,0.9436,0.9864,0.9865,0.9672,0.9944,0.9925,0.9916,0.9926,0.9951
45.0000,0.9150,0.9755,0.9380,0.9476,0.9824,0.9850,0.9622,0.9943,0.9954,0.9950,0.9945,0.9936
46.0000,0.8659,0.9756,0.9226,0.9527,0.9770,0.9779,0.9591,0.9944,0.9945,0.9951,0.9949,0.9949
47.0000,0.8041,0.9725,0.9061,0.9469,0.9715,0.9701,0.9605,0.9938,0.9964,0.9956,0.9950,0.9945
48.0000,0.7965,0.9441,0.8764,0.9013,0.9721,0.9558,0.9615,0.9961,0.9931,0.9927,0.9934,0.9951
49.0000,0.8253,0.8944,0.8675,0.8713,0.9750,0.9467,0.9643,0.9928,0.9913,0.9922,0.9912,0.9951
50.0000,0.8438,0.9129,0.8675,0.8269,0.9480,0.9341,0.9431,0.9793,0.9553,0.9708,0.9605,0.9664
51.0000,0.8353,0.8450,0.8930,0.8561,0.9487,0.9351,0.9546,0.9899,0.9722,0.9789,0.9846,0.9847
52.0000,0.8281,0.9240,0.9158,0.8632,0.9354,0.9521,0.9559,0.9907,0.9655,0.9806,0.9863,0.9870
53.0000,0.8699,0.9524,0.9230,0.8839,0.9279,0.9707,0.9530,0.9850,0.9880,0.9872,0.9914,0.9887
54.0000,0.8566,0.9549,0.8662,0.8831,0.9131,0.9696,0.9503,0.9684,0.9788,0.9866,0.9901,0.9878
55.0000,0.8666,0.9621,0.8813,0.8661,0.9145,0.9515,0.9415,0.9937,0.9863,0.9836,0.9851,0.9879
56.0000,0.8931,0.9638,0.8792,0.8786,0.9272,0.9632,0.9361,0.9933,0.9731,0.9879,0.9936,0.9916
