psnr_do_nothing_dB,psnr_along_flow_dB
2.604742097929347011e+01,3.838027893015358671e+01
2.598590882031822957e+01,3.735190461585929711e+01
2.623238875084875588e+01,3.574606578276305413e+01
2.639352468679129871e+01,3.929850751725156499e+01
2.644671805183234525e+01,3.809779811362908930e+01
2.644918173735826272e+01,3.832129306674764280e+01
2.590322605215153473e+01,3.838053082738145605e+01
2.627204949381068744e+01,3.783621153457863784e+01
2.708436363465709817e+01,3.816346748069300787e+01
2.693622710285523425e+01,3.663905942040047137e+01
2.688469111873812523e+01,3.767117874691105328e+01
2.698742816465473027e+01,3.792462432033796915e+01
2.728563582679263533e+01,3.687579210929387585e+01
2.752665583573062946e+01,3.689097368343156802e+01
2.748487707925957579e+01,3.490055317005578672e+01
2.714453015514217782e+01,3.794865557211655727e+01
2.762413489499824237e+01,3.829313871932826174e+01
2.842390288922750941e+01,3.883002115152785194e+01
2.897082121433503232e+01,3.895711898986420607e+01
2.932312510597158806e+01,3.862783976824122334e+01
2.946931378606965524e+01,3.733680638629446946e+01
2.947225040872755386e+01,3.569916145014749986e+01
3.056285508834853815e+01,3.540437435298749591e+01
3.017010355247805364e+01,3.561520246161531134e+01
3.050000957754900810e+01,3.516582888014963970e+01
3.069989504879207942e+01,3.641112205626142639e+01
3.163259214718410561e+01,3.612351253284544583e+01
3.109069244138362365e+01,3.667393035311035732e+01
3.072067491187412713e+01,3.666764949278859831e+01
3.279016163604308076e+01,3.691381785678029814e+01
3.292803212096281840e+01,3.479531537504544758e+01
3.406203461694660461e+01,3.369270998644210380e+01
3.314230120470027430e+01,3.416539991733341708e+01
3.175788540394483306e+01,3.698012457131660824e+01
2.895810772744281536e+01,3.596353167967867392e+01
2.794781738709565388e+01,3.344331598474226297e+01
2.753810648031458896e+01,3.413695557974128292e+01
2.606136919102079119e+01,3.194118682976628065e+01
2.503324641285392005e+01,3.236241546315306294e+01
2.476908564089907472e+01,3.271287861446492684e+01
2.439747645090060502e+01,3.377567636775034288e+01
2.350221969092436325e+01,3.292626248314198278e+01
2.247054855088068592e+01,3.353380021039303926e+01
2.251666814681752982e+01,3.502289461016979288e+01
2.197517003907122302e+01,3.346009707846852166e+01
2.094425960921568830e+01,3.086590291048949553e+01
1.891958398677114772e+01,3.054796925935481156e+01
1.755545157398560718e+01,3.081551140981429171e+01
1.766554092529662157e+01,3.349258232692332626e+01
1.876758453522304393e+01,3.313456175488379074e+01
1.951057721139516943e+01,3.344171417197147633e+01
2.023814147998052348e+01,3.115769964699069661e+01
2.075300821034915799e+01,3.252317113055841702e+01
2.028757596625041870e+01,3.149698794783603972e+01
2.034532841561878769e+01,3.287851522442498720e+01
2.096025620656673993e+01,3.317983862013255703e+01
2.191625681082137334e+01,3.078829630780888493e+01
